天气之子,2019-11-01,爱情/动画/奇幻
误杀,2019-12-13,剧情/犯罪
少年的你,2019-10-25,爱情/青春/剧情
哪吒之魔童降世,2019-07-26,动画/喜剧/奇幻
唐人街探案2,2018-02-16,喜剧/动作/悬疑
战狼2,2017-07-27,动作/战争
哥斯拉2：怪兽之王,2019-05-31,科幻/灾难/动作
火箭少女101飞行演唱会*广州站,2019-03-30,歌舞
命运之夜——天之杯3：春之歌,2020-03-28,剧情/动画/奇幻
复仇者联盟4：终局之战,2019-04-24,动作/冒险/奇幻
